user_id,int_u_id,latent_1,n_reviews
--Qh8yKWAvIP4V4K8ZPfHA,0,1.3601394951303407,201
--YhjyV-ce1nFLYxP49C5A,1,1.2813619402094616,19
--_WPY2SoNRJGVtUr2ZcwQ,2,1.6478117463078754,18
-3Kq9ssSot4QizbPYO6ZQQ,3,1.3865910356800908,48
-4ACMMLuk6uhtXsBfYFaPQ,4,1.3237268696284363,18
-7jOvj4-RK_RCiAjLei1bA,5,1.606836699015894,24
-83s33R6DAJKlc6C5Wqzwg,6,1.6745555389966575,4
-9JqNce6qGY2fTepA8XpUg,7,1.52196336976147,25
-9MOrFh1va1SC9BBNlMTeQ,8,1.5534213712162788,23
-9SoHrhiiUVmx6-MkyR4RA,9,1.4319889255878258,44
-AnDW6H6Vaa8-ixvfGtVOA,10,1.3149716170145842,12
-Aw9kRoXmFptUMN2XkJY9w,11,1.516448002562871,27
-B4Cf2XLkPr9qMlLPHJAlw,12,1.4456221304396628,60
-Bv-AvPB3vWD9ulXWsESnw,13,1.378996641523915,5
-DFCC64NXgqrxlO8aLU5rg,14,1.439356771903362,13
-DPkNlW9tR4qfZpoQW4Vjg,15,1.5764435075523233,24
-DXjztWlgH1hjJgvg6cKkg,16,1.6003232480380283,17
-F8sgdb7VY_O10OjZYOJfw,17,1.5505442512700278,16
-HlCe-Ya-4CE2huuEk2_1g,18,1.3622311521482393,29
-IFSBZCOHnHm1-3p5V493g,19,1.770824512628971,12
-K8IQoaXwzxBCGx1IU86aw,20,1.5390174215297838,14
-KEam7270hiQQK__Vblj-g,21,1.4371877229207792,16
-KVxkJDSTjtPGsamMDG92Q,22,1.805676109103086,57
-MMPFsniPVNPT42Oigwmpg,23,1.436988706547679,27
-OY3fkHVYy0Dx160rKCiWQ,24,1.0678678966815502,17
-RB-ot6EC8SWQnQz0kWT7g,25,1.4490078220735445,13
-RCD8F7qbsLfzT3k1HtMxg,26,1.608969980089418,72
-SRDTWwdGca9OKdYxA6XDg,27,1.7098481962893448,20
-TcpJGnTtn_KBM8QZ8I8ZA,28,1.0936211434585508,9
-Xa9txKVbyQbNtOcOzmyvw,29,1.7721896497884309,23
-YYe0kff9YAYzr5L09TT_A,30,1.6915036936215782,13
-ZsAF6YOSzfCwRMvwgkwHw,31,1.606727290703857,27
-_2h2cJlBOWAYrfplMU-Cg,32,1.4517595037449396,183
-bCs6n5iQ-2karqcGXCSHw,33,1.518254473653523,14
-brdx3aTtQOMsRG5x9FxdQ,34,1.328413306813162,14
-ciD8TN9qx3Y-DaDaUgSqA,35,1.4997314335238736,11
-d2daWmftYumOaYpbD5D8Q,36,1.4000254058544184,135
-dbWm5L_Ol2hZeLRoQOK7w,37,1.5924298594275783,68
-eRl2zFyQP5Hv7ZdCyN7YA,38,1.7951466981673276,23
-fEe8XBeJ6pGLIeAyAWzfw,39,1.6879322811976507,47
-ga7pQvnJcMB1_pIapHQRQ,40,1.330682340247388,25
-hUgrj7Lzir3yLUYrMYQ4g,41,1.4334387376719553,67
-jt1ACMiZljnBFvS6RRvnA,42,1.4235351671025434,15
-m0KTRk0c901-4b-BN34Gg,43,1.5338503964329844,70
-mphUDETxMk7w8_DA7yJmw,44,1.6707456592132421,11
-ngKtxn2tB_c3fnNouRM5A,45,1.675903794093034,37
-od707p4FHGul0gte29AoQ,46,1.4559624223976615,84
-pXs08gJq9ExIk275YLvPg,47,1.686102321665568,111
-qSGCdxXU_jv_P-7CjZpcQ,48,1.6655025210847008,21
-qr-SDo-IHa5-YISjtmesQ,49,1.4987947397878625,71
-s1vboE3TrHcieEsKh0kJQ,50,1.94111536166923,17
-tHsCH0WAqDUncynPhVkKg,51,0.7599282599893696,19
-tdsrQ3QIkGmmP2n6-DTeg,52,1.3571858730121016,100
-vfjOBjztq9rOtOK7YMVXQ,53,1.600973072119926,21
-w6JENytJbsQCqW-jDUWzg,54,1.3306302663739527,52
-wQ0r4tp6eo6SveGHeMB4Q,55,1.2363784460459595,12
-yqTLzfd-L9war_Mm2s8Eg,56,1.5448255192566616,13
-zjgxf6V-EOx320YXJwYPA,57,1.5498219198295107,50
01z76N22tKqYMm0V2oqJxA,58,1.7034487051483729,6
027r9dKIyDWFqIuiC5mRGw,59,1.7209361629655375,21
02AOwJB1g9ETIDGZznyuAw,60,1.4218221953173307,60
02AgiiwLg_XAhkvG-wGZKQ,61,1.5978414547509063,24
06TjiB7kFn_XnlhxkiEKwQ,62,1.5764390489175961,33
0AK8CEWTh7M0ZKwQO0Hd3w,63,1.4287387732931809,33
0AMYqVq6AAbmibINey4fOQ,64,1.6220435745018122,20
0AnezUtzwmaeAYSMvDdLmg,65,1.5690154854728606,10
0B-8P7HzFB5NeG0PNCGQ9g,66,1.3804101731716767,18
0BBUmH7Krcax1RZgbH4fSA,67,1.5050057921415365,417
0B_9d3shTl2uVvkVXDjziA,68,1.3301927492697156,27
0BaJ43WuBnP-G6fmstEmNQ,69,1.0968717065335851,29
0BeNDN2efF3R2PO80q3xcw,70,1.6820670683331758,13
0C4ccDiZlnW68ULoDKE3NA,71,1.5849940384727816,22
0CSlu7ZhK0SfEmo_1WkcnA,72,1.7423484904472173,31
0C_kTzETOV_1m-fSeYGuJQ,73,1.481375206708179,44
