business_id,name,city,latitude,longitude,review_count,stars,Restaurants,Shopping,Beauty & Spas,Nightlife,Bars,Active Life,Fashion,Coffee & Tea,Arts & Entertainment,Hotels & Travel,int_b_id,latent_1
Mi5uhdFB9OJteXPd0_IKfw,Carrabba's Italian Grill,Phoenix,33.6393005153,-112.180893379,119,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.182864753841921
YPavuOh2XsnRbLfl0DH2lQ,Lo-Lo's Chicken & Waffles,Phoenix,33.4353717916,-112.073970304,1276,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.558035570265404
Ja4stXdNYr39u5CZHMNtjw,Cien Agaves Tacos & Tequila,Phoenix,33.494398600000004,-111.9253409,480,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2453501492283845
2px99IppAcnxR238eq_8_w,Big Buddha,Phoenix,33.6252846267,-112.414446464,273,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.3055492439093053
S6HTXcS97j173_btjN8w7Q,Famous Dave's,Phoenix,33.633666,-112.235047,177,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.3742020597743156
SYa2j1boLF8DcGVOYfHPcA,Five Guys Burgers and Fries,Phoenix,33.50406238,-111.92943064200001,81,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.977692456773782
ndXuzuD4BpNIrm1I0nTsww,Distrito,Phoenix,33.4943298,-111.9224801,301,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2.413839842707182
-jKBFjNTbiafSdunQy6dlQ,Mandarin Super Buffet,Phoenix,33.524008,-112.09119199999999,89,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.8164515211734218
Rud4J5Hsjn_jjU9IaQ0Dpw,The Melting Pot,Phoenix,33.6626966153,-112.18817108299999,164,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2.4048285082740293
vYKZHWBuBT1PUevggLAE9w,Apple Store,Phoenix,33.639790999999995,-112.224556,108,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.2477922137559663
8Y5p2IQMLX6QjGPzxanexg,"Ohya Sushi, Korean Kitchen & Bar",Phoenix,33.6116508043,-112.165567973,342,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.0601441916372893
5P7zzVhWvO8nXGPdy7xqhw,LaMar's Donuts & Coffee,Phoenix,33.640341799999995,-112.11067240000001,157,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,2.682498473451058
d5n5CsoJNu-tKEbfI6U3tA,Olive Garden Italian Restaurant,Phoenix,33.6377418163,-112.227934548,111,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12,1.964395388294032
FYa3GUro-ezTM9zvKiocFw,Greek Wraps,Phoenix,33.637659,-112.217436,434,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.691431207381917
e4HsCEpfXT3Djcgm8rSvSQ,Target,Phoenix,33.5209647,-112.09740819999999,83,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,2.6554062330748245
4iFYsHDzkuf3JjSzhaNd2g,Shane Co.,Phoenix,33.6183213,-111.92625190000001,188,4.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2.6550247370055455
pvpS3RkO8Qsl759-Xz7YZg,Outback Steakhouse,Phoenix,33.6384672631,-112.17962145799999,99,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2.238632809141924
5jxn3_C5rjBow-aiBqcQNg,REI,Phoenix,33.3918081494,-111.961647134,114,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17,2.4184876811648177
JvHv4HDT7sU7rMYyDzJuMQ,Beverly on Main,Phoenix,33.49328,-111.92976499999999,98,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18,2.5075807269868347
uwDyxK92ae5kNjeZE8uCgA,California Pizza Kitchen,Phoenix,33.4324152,-111.9052063,123,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2.036723399166386
EtZacHzJ2gw0V9Sdm2rLQA,George's Gyros,Phoenix,33.4198793,-111.8394439,113,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2.3834191001424028
iE71iwcSljg3xm2GB2Y9aA,Marigold Maison- Paradise Valley,Phoenix,33.5986308836,-111.97837182200001,288,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,2.565027173117827
gDjHnPJDx9ZVse0i9mp5hQ,La's Thai Cuisine,Phoenix,33.464511800000004,-111.9083172,166,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,2.3065258955122006
cXdQ3H0GqcIzRgrvBEaBxw,Noodle & Rice,Phoenix,33.5962271,-112.0359509,185,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2.436187725573204
ZLhUJiLCk4WtHRzXS-nF0A,Nordstrom Rack,Phoenix,33.306009,-111.8857888,44,3.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24,2.274744251707109
CA4qhLICQWX0H_bf9iGw0Q,Apple Store,Phoenix,33.3017106,-111.8985267,141,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.10837466265605
zNGYsFeG_7XEBodbtfux5Q,Khyber Halal,Phoenix,33.494220899999995,-112.0304976,208,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2.6359817251546898
2Yq-Y-tDroP7mdDfcWJLCQ,Tacos Atoyac,Phoenix,33.53864,-112.09827299999999,312,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2.7821105998549056
Bb-Y-gKgZJak83zfzQoj1g,Zur Kate,Phoenix,33.4149445,-111.726882,133,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,2.6302306707971423
CdpBVSkL2Pljj-yP0ihb_w,Thai Orchid Garden Restaurant,Phoenix,33.4927898356,-112.33256022299999,150,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2.210279836368221
kHpXJ2vciumu2KhNHg0hYA,Majerle's Sports Grill,Phoenix,33.448465399999996,-112.07125740000001,228,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,2.051599208301134
raVyoZbWWuN7JcFUdT7k2g,Sochu House,Phoenix,33.47907,-112.073306,179,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31,2.4141708439298797
VOh-vGJlUJnaAb3tgPreQg,AMC Arizona Center 24,Phoenix,33.453894,-112.06921899999999,139,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32,2.0617191054532
v9u0NgjA4iQeKGevFnYSCA,Arizona Biltmore,Phoenix,33.516066200000004,-112.02956200000001,385,3.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33,2.421768827771059
UE3AvVnaPEBPneVahYT2eA,The White Chocolate Grill,Phoenix,33.655566,-111.92641,698,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,2.4638453067742656
4qQVf2lt-47VcQ4v54PEXQ,Basil & Garlic Bistro,Phoenix,33.594737,-111.880444,200,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,2.697147241322704
1gRWCpwBh1pL5ByiAo8T1A,Al's Beef,Phoenix,33.619485,-111.898197,76,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,2.1212242124213403
AueEbb9kao4lt6CYt06hqw,Okra Cookhouse & Cocktails,Phoenix,33.522359,-112.0645588,176,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37,2.611094827578845
lUG4i-s3zNFY1f6bEnTfqg,Snapdragon Salon,Phoenix,33.5090243,-112.0673841,210,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,2.9849498260239002
wghDrzcZ0VloAtaIZ7GEBg,Piestewa Peak,Phoenix,33.5427327031,-112.01547875700001,187,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39,2.7573065823878946
